condition,seed,generation,name,label,detail
vanilla,2,400,SHADE_NDCA,runtime_error,AttributeError: module 'numpy.random' has no attribute 'cauchy'
vanilla,2,409,ADE_OTLS,runtime_error,AttributeError: module 'numpy.random' has no attribute 'cauchy'
vanilla,2,423,ADCE,runtime_error,AttributeError: module 'numpy.random' has no attribute 'cauchy'
vanilla,2,430,SHADE_BFGS,import_violation,scipy.optimize is currently not allowed to be imported in this framework.
vanilla,2,444,ADE_OCS,runtime_error,AttributeError: module 'numpy.random' has no attribute 'cauchy'
vanilla,2,450,ADE_OQNR,unclassified_success,ok
vanilla,2,468,ADCE,runtime_error,AttributeError: module 'numpy.random' has no attribute 'cauchy'
vanilla,2,472,ADE_OLS,runtime_error,AttributeError: module 'numpy.random' has no attribute 'cauchy'
vanilla,2,482,IG_DECA,runtime_error,AttributeError: module 'numpy.random' has no attribute 'cauchy'
vanilla,2,489,ADCE,runtime_error,AttributeError: module 'numpy.random' has no attribute 'cauchy'
vanilla,2,497,ADE_OCS,unclassified_success,ok
vanilla,3,21,IGOS_Optimizer,runtime_error,IndexError: index 2 is out of bounds for axis 0 with size 2
vanilla,3,35,DE_CMA_Optimizer,runtime_error,RecursionError: maximum recursion depth exceeded
vanilla,3,40,IG_MOS_Optimizer,runtime_error,IndexError: index 2 is out of bounds for axis 0 with size 2
vanilla,3,47,IG_MOS_Optimizer,runtime_error,IndexError: index 2 is out of bounds for axis 0 with size 2
vanilla,3,58,PHI_CMA_Optimizer,runtime_error,"ValueError: could not broadcast input array from shape (2,2) into shape (3,2)"
vanilla,3,66,IGSA_CMA_Optimizer,runtime_error,RecursionError: maximum recursion depth exceeded
vanilla,3,92,IG_SH_CMA,runtime_error,IndexError: index 2 is out of bounds for axis 0 with size 2
vanilla,3,112,DG_CMA,runtime_error,IndexError: index 2 is out of bounds for axis 0 with size 2
vanilla,3,114,IG_SH_CMA,runtime_error,"ValueError: could not broadcast input array from shape (2,2) into shape (0,2)"
vanilla,3,117,DE_CMA_Hybrid,runtime_error,"ValueError: could not broadcast input array from shape (2,2) into shape (3,2)"
vanilla,3,142,IGA_CMA,runtime_error,IndexError: index 5 is out of bounds for axis 0 with size 5
vanilla,3,147,IGA_CMA,runtime_error,IndexError: index 4 is out of bounds for axis 0 with size 4
vanilla,3,167,ADA_CMA,runtime_error,IndexError: index 2 is out of bounds for axis 0 with size 2
vanilla,3,169,DMEDE,runtime_error,AttributeError: module 'numpy.random' has no attribute 'cauchy'
vanilla,3,175,IGA_CMA,runtime_error,IndexError: index 5 is out of bounds for axis 0 with size 5
vanilla,3,178,AMO_CMA,runtime_error,IndexError: index 5 is out of bounds for axis 0 with size 5
vanilla,3,184,IGA_CMA,runtime_error,IndexError: index 2 is out of bounds for axis 0 with size 2
vanilla,3,199,IGA_CMA,runtime_error,IndexError: index 2 is out of bounds for axis 0 with size 2
vanilla,3,212,AD_CMA,runtime_error,"ValueError: matmul: Input operand 1 has a mismatch in its core dimension 0, with gufunc signature (n?,k),(k,m?)->(n?,m?) (size 3 is different from 2)"
vanilla,3,219,SHAL_CMA,import_violation,scipy.optimize is currently not allowed to be imported in this framework.
vanilla,3,221,IGA_CMA,runtime_error,IndexError: boolean index did not match indexed array along axis 1; size of axis is 2 but size of corresponding boolean axis is 3
vanilla,3,226,IGA_CMA,runtime_error,IndexError: index 5 is out of bounds for axis 0 with size 5
vanilla,3,228,IGA_CMA,runtime_error,IndexError: index 4 is out of bounds for axis 0 with size 4
vanilla,3,236,AD_CMA,runtime_error,RecursionError: maximum recursion depth exceeded
vanilla,3,247,DE_CMA,runtime_error,"ValueError: operands could not be broadcast together with shapes (2,) (2,6) "
vanilla,3,249,MO_CMA_ES,runtime_error,IndexError: index 5 is out of bounds for axis 0 with size 5
vanilla,3,290,IGA_CMA,runtime_error,IndexError: index 4 is out of bounds for axis 0 with size 4
vanilla,3,307,IGA_CMA,runtime_error,IndexError: index 2 is out of bounds for axis 0 with size 2
vanilla,3,314,ADP_CMA,runtime_error,IndexError: index 4 is out of bounds for axis 0 with size 4
vanilla,3,329,GlobalTrajectoryRefiner,runtime_error,AttributeError: module 'numpy' has no attribute 'math'
vanilla,3,330,DGESAD,runtime_error,AttributeError: module 'numpy.random' has no attribute 'cauchy'
vanilla,3,350,IGA_CMA,runtime_error,IndexError: index 2 is out of bounds for axis 0 with size 2
vanilla,3,370,IGA_CMA,runtime_error,IndexError: index 4 is out of bounds for axis 0 with size 4
vanilla,3,385,IGA_CMA,runtime_error,"ValueError: could not broadcast input array from shape (2,2) into shape (2,3)"
vanilla,3,398,HT_CMA_LBFGS,import_violation,scipy.optimize is currently not allowed to be imported in this framework.
vanilla,3,402,IGA_CMA,import_violation,scipy.stats is currently not allowed to be imported in this framework.
vanilla,3,433,ONE_CMA,runtime_error,IndexError: index 2 is out of bounds for axis 0 with size 2
vanilla,3,437,PADE_CMA,runtime_error,IndexError: index 4 is out of bounds for axis 0 with size 4
vanilla,3,443,IGA_CMA,runtime_error,RecursionError: maximum recursion depth exceeded
vanilla,3,445,IGA_CMA,runtime_error,IndexError: index 5 is out of bounds for axis 0 with size 5
vanilla,3,446,SDE_CMA_ES,runtime_error,IndexError: index 4 is out of bounds for axis 0 with size 4
